May  5 13:05:19 kernel: klogd started: BusyBox v1.25.1 (2022-04-12 20:30:56 CST)
May  5 13:05:59 rc_service: waitting "start_httpd" via udhcpc_lan ...
May  5 13:05:59 httpd: Save SSL certificate...80
May  5 13:05:59 httpd: Generating SSL certificate...80
May  5 13:06:00 R6800: start skipd
May  5 13:06:00 ntp: start NTP update
Apr 14 00:46:08 rc_service: ntp 2044:notify_rc restart_diskmon
Apr 14 00:46:08 disk_monitor: Finish
Apr 14 00:46:08 disk monitor: be idle
Apr 14 00:46:09 kernel: [   73.302733] Set_Fh_Bss_Proc ra0 wdev->MAPCfg.DevOwnRole 0x0
Apr 14 00:46:09 kernel: [   73.319879] Set_Fh_Bss_Proc ra0 wdev->MAPCfg.DevOwnRole 0x20
Apr 14 00:46:09 kernel: [   73.347345] Set_Fh_Bss_Proc rai0 wdev->MAPCfg.DevOwnRole 0x0
Apr 14 00:46:09 kernel: [   73.363384] Set_Fh_Bss_Proc rai0 wdev->MAPCfg.DevOwnRole 0x20
Apr 14 00:46:14 httpd: Succeed to init SSL certificate...80
Apr 14 00:47:07 crond[1267]: time disparity of 2072861 minutes detected
Apr 14 00:47:57 WATCHDOG: [FAUPGRADE][auto_firmware_check:(7641)]periodic_check AM 2:22
Apr 14 00:47:57 WATCHDOG: [FAUPGRADE][auto_firmware_check:(7680)]do webs_update
Apr 14 00:47:58 WATCHDOG: [FAUPGRADE][auto_firmware_check:(7751)]could not retrieve firmware information: webs_state_update = 1, webs_state_error = 1, webs_state_dl_error = 0, webs_state_info.len = 31
Apr 14 00:48:28 WATCHDOG: [FAUPGRADE][auto_firmware_check:(7680)]do webs_update
Apr 14 00:48:29 WATCHDOG: [FAUPGRADE][auto_firmware_check:(7751)]could not retrieve firmware information: webs_state_update = 1, webs_state_error = 1, webs_state_dl_error = 0, webs_state_info.len = 31
Apr 14 00:48:59 WATCHDOG: [FAUPGRADE][auto_firmware_check:(7680)]do webs_update
Apr 14 00:49:00 WATCHDOG: [FAUPGRADE][auto_firmware_check:(7751)]could not retrieve firmware information: webs_state_update = 1, webs_state_error = 1, webs_state_dl_error = 0, webs_state_info.len = 31
Apr 14 00:49:07 rc_service: httpd 1994:notify_rc restart_time;restart_upnp;restart_leds;restart_uuacc;restart_usb_idle;
Apr 14 00:49:07 kernel: klogd started: BusyBox v1.25.1 (2022-04-12 20:30:56 CST)
Apr 14 00:49:07 ntp: start NTP update


